"Title","Year","Source title","Cited by","DOI","Link","Abstract","Author Keywords"
"A green ammonia utilization pathway: Integrated ammonia-solid oxide fuel cell systems for efficient power generation","2025","EnergyChem","0","10.1016/j.enchem.2025.100167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011948197&doi=10.1016%2Fj.enchem.2025.100167&partnerID=40&md5=bb255f8ffed1c95a560ead337473d9af","Ammonia (NH<inf>3</inf>) is a promising energy carrier to store and transport renewable energy due to its high energy density (18.6 MJ kg-1, containing 17.6 wt% H<inf>2</inf>) and mature storage and transportation. Ammonia-fuelled solid oxide fuel cells (NH<inf>3</inf>-SOFC) show multiple clean energy applications due to their high efficiency, near-zero CO<inf>2</inf> emissions, and flexible integration. This work delineates the current status and prospects of integrated NH<inf>3</inf>-SOFC technology towards a green ammonia economy by investigating its operating principle, system integration, and cost-competitiveness. Technoeconomic analysis results suggest that the levelized cost of electricity (LCOE) for NH<inf>3</inf>-SOFC is approximately 0.24 $ kWh-1. In addition, ammonia has demonstrated a high potential as a green shipping fuel because of its carbon-free and low flammability characteristics, while necessitating industry standards and large-scale application scenarios. It has also been indentified that the large-scale application of NH<inf>3</inf>-SOFC largely depends on the reduction in capital cost, electrode materials improvement and volumetric power density increase. © 2025 Elsevier B.V., All rights reserved.","Clean Energy Transition; Green Ammonia Economy; Green Power; Solid Oxide Fuel Cell; Sustainable Fuel; Ammonia; Clean Energy; Cost Benefit Analysis; Energy Efficiency; Energy Policy; Ammonia Solid; Clean Energy Transition; Energy Transitions; Green Ammonia Economy; Green Power; Large-scale Applications; Nh 3; Solid-oxide Fuel Cell; Sustainable Fuels; Solid Oxide Fuel Cells (sofc)"
"NiFe-based electrocatalysts for hydrogen evolution reaction in alkaline conditions: Recent trends in the design and structure–activity correlations","2025","EnergyChem","1","10.1016/j.enchem.2025.100161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010310127&doi=10.1016%2Fj.enchem.2025.100161&partnerID=40&md5=d6353d0b38a4b48557725e4e1d1351d5","One of the best alternatives to fossil fuels and a plausible solution to the issues related to its perpetual consumption such as carbon emission and energy crisis is the use of “green hydrogen” as the fuel of future with zero carbon emission. The electrocatalytic water-splitting reaction to produce ‘green hydrogen’ has a high kinetic energy barrier and hence developing a high performance electrocatalyst is very crucial and challenging. The electrocatalysts that based on NiFe catalyst system has received considerable attention because of their low cost, easy availability, increased electrochemically active surface sites compared to pure nickel and iron materials, and excellent electronic properties due to the synergistic interaction between Nickel and Iron. This review highlights the recent trends and a comprehensive analysis of the critical factors described in the literature for the design and optimization of an effective NiFe-based hydrogen evolution reaction (HER) electrocatalyst in alkaline medium. The important factors that influence the catalytic efficiency of NiFe-based electrocatalysts such as the modifications in the surface morphology, electronic structure of the catalyst, supporting material characteristics, doping with heteroatoms of metals or non-metals, heterostructuring, synthesis strategies, compositional variations, and pore structure of the catalyst are addressed from experimental and theoretical point of view. The variation of these parameters provides much exposed active sites, improved surface area, electronic conductivity, fast mass diffusion and easy desorption of hydrogen gas from the catalyst surface and stability. The NiFe-based overall water splitting, and various in situ/operando studies employed for elucidating the reaction mechanism as well as the structural evolution of the catalyst during the electrocatalytic water splitting reaction under alkaline conditions are also discussed in this review. The challenges and prospects for developing NiFe-based electrocatalyst for HER under alkaline medium are highlighted in the end. Even though advancement has made in the area of electrocatalytic HER, continuous efforts are needed to fabricate a highly efficient NiFe-based electrocatalyst that show long term electrochemical stability along with scalability for sustainable H<inf>2</inf> production and implementation of it for commercial applications. © 2025 Elsevier B.V., All rights reserved.","Electrocatalysis; Green Hydrogen; Her; Hydrogen Evolution Reaction; Ni–fe Catalysts; Structure–activity Correlation; Binary Alloys; Carbon; Catalyst Activity; Electrocatalysts; Electronic Structure; Energy Policy; Hydrogen Evolution Reaction; Hydrogen Fuels; Hydrogen Production; Iron; Iron Alloys; Kinetics; Morphology; Nickel; Pore Structure; Reaction Kinetics; Surface Morphology; Sustainable Development; Alkaline Conditions; Carbon Emissions; Electrocatalytic; Green Hydrogen; Hydrogen Evolution Reactions; Ni/fe Catalysts; Recent Trends; Structure-activity Correlations; ]+ Catalyst; Electrocatalysis"
"Diverse MOFs-derived carbon-based materials for advanced electrochemical energy applications","2025","EnergyChem","0","10.1016/j.enchem.2025.100163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010156897&doi=10.1016%2Fj.enchem.2025.100163&partnerID=40&md5=89ecf2cd5aeccc539b1130fb468d032d","Metal-organic frameworks (MOFs)-derived carbon-based materials have garnered significant attention in electrochemical energy storage and conversion owing to their tunable porous structures, compositional flexibility, and structural diversity. This review categorizes typical synthetic strategies for MOFs-derived carbon-based materials, while highlights their cutting-edge applications in two key domains in recent years: (1) electrocatalytic reactions, mainly encompassing hydrogen evolution reaction, oxygen evolution reaction, oxygen reduction reaction, and nitrogen reduction reaction; and (2) electrochemical energy storage systems, with a focus on lithium-ion batteries and sodium-ion batteries. Particular emphasis is placed on elucidating the critical structure-property relationships governing the performance of these functional materials. Finally, we present a forward-looking perspective addressing current challenges and future research directions, offering strategic insights for designing novel high-performance electrochemical materials through rational engineering of the architectures of MOFs-derived carbon-based materials. © 2025 Elsevier B.V., All rights reserved.","Electrocatalysis; Energy Storage; Mofs-derived Carbon-based Materials; Multifunctionality; Carbon; Electrolytic Reduction; Functional Materials; Hydrogen Evolution Reaction; Hydrogen Storage; Lithium-ion Batteries; Metal Ions; Oxygen; Oxygen Evolution Reaction; Oxygen Reduction Reaction; Sodium-ion Batteries; Strategic Materials; Carbon Based Materials; Derived Carbons; Electrochemical Energy; Electrochemical Energy Storage; Energy; Energy Applications; Metal-organic Framework-derived Carbon-based Material; Metalorganic Frameworks (mofs); Multifunctionality; Performance; Electrocatalysis"
"Advancing organic photovoltaics processed from green-solvents: From characterization methods to optimization strategies","2025","EnergyChem","0","10.1016/j.enchem.2025.100162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009306619&doi=10.1016%2Fj.enchem.2025.100162&partnerID=40&md5=3aade1417d6f32061a337524101e4637","The organic solar cell (OSC) technology has advanced significantly during the past decade, with power conversion efficiencies now exceeding 20%. However, the fabrication of high-performance devices still relies on using halogenated solvents, which pose environmental risks and limit industrial scalability. To address this issue, researchers are developing new strategies such as new molecular design concepts, control of blend morphology through processing conditions, and performance optimization guided by charge carrier mechanisms aiming to enhance solubility in green solvents while ensuring optimal film formation, as to be summarized in this review. Despite these efforts, the complex chemical/morphological structure-processing-property-function relationships remain elusive. A deeper understanding of film formation dynamics and consequences in charge carrier dynamics is essential, thereby necessitating both ex-situ and in-situ morphological and optical characterizations. Accordingly, this review begins with an overview of the key reminders for commonly used characterization techniques together with solvent properties, and solubility-morphology relationships. Ultimately, this review highlights the latest advancements in materials and device engineering and discusses the challenges that the field must overcome to enable more sustainable and scalable OSC fabrication. © 2025 Elsevier B.V., All rights reserved.","Charge Dynamics; Green Solvent; Molecular Design; Morphology; Organic Solar Cells; Blending; Charge Carriers; Dynamics; Halogenation; Photovoltaics; Solubility; Solvents; Characterization Methods; Charge Dynamics; Greener Solvents; Higher Performance Devices; Molecular Design; Optimization Strategy; Organic Photovoltaics; Organics; Power Conversion Efficiencies; Solar Cell Technology; Morphology; Organic Solar Cells"
"Rational design and interfacial engineering of hierarchical S-scheme heterojunction and their photocatalytic applications","2025","EnergyChem","0","10.1016/j.enchem.2025.100159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008774696&doi=10.1016%2Fj.enchem.2025.100159&partnerID=40&md5=2e234eaabef5c4781399b24d4c20b57d","Rational design and engineering the interfacial structure with diverse morphological features of functional semiconductors for the fabrication of S-scheme heterojunction (SSH) remains as pivotal aspiration in energy and environmental applications. This review article diligently summarises the state-of-art progress and provides specific insights into the design and fabrication of hierarchical hybrid nanostructures comprising 0D, 1D, 2D and 3D nanomaterials. The analytical tools to attest the formation of SSH between the integrated components are briefly highlighted. The photocatalytic application of hierarchical SSH encompassing the energy-environmental aspects such as H<inf>2</inf> generation, CO<inf>2</inf> reduction, pollutant degradation, organic synthesis and coupled photocatalytic systems are concisely discussed. The further progress achieved through co-catalyst modifications and fabrication of dual SSH are outlined. The current challenges and the prospects in this futuristic and burgeoning arena are envisaged to broaden their applications. It is foreseen that the meticulous fabrication complemented with superlative interfacial structures would inspire the designing of exemplar SSH for sustainable energy and environmental crisis as well as for coupled photocatalytic systems. © 2025 Elsevier B.V., All rights reserved.","H2o2 Generation; Hierarchical Morphologies; In-situ Xps Analysis; Interfacial Engineering; Photocatalysis; S-scheme Heterojunction; Environmental Protection; Fabrication; Hierarchical Systems; Morphology; Photocatalytic Activity; H2o2 Generation; Hierarchical Morphology; In-situ Xps; In-situ Xps Analyze; Interfacial Engineering; Interfacial Structures; Photocatalytic Application; Rational Design; S-scheme Heterojunction; Xps Analysis; Heterojunctions"
"Controlled radical polymerization-derived solid-state polymer electrolytes for lithium batteries","2025","EnergyChem","0","10.1016/j.enchem.2025.100160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008499139&doi=10.1016%2Fj.enchem.2025.100160&partnerID=40&md5=6efc615ae7ae5f308b96557b6e817ae0","Solid-state polymer electrolytes (SPEs) have emerged as a promising candidate to work out remaining challenges faced by conventional liquid electrolytes, including the safety risks and limited energy density lithium batteries. Despite these benefits, polymer electrolytes are still required further optimization for constructing high-performance energy storage systems. Controlled radical polymerization (CRP) techniques, encompassing reversible addition-fragmentation transfer (RAFT), atom transfer radical polymerization (ATRP), and nitroxide-mediated polymerization (NMP), enable precise control over polymer architectures, molecular weights, and functionalities, which plays an essential role in regulating the ionic conductivity, cycling stability, mechanical performance, and interfacial compatibility of polymer electrolytes. Here, on the basis of discussing the CRP reaction mechanisms and the typical topological structures, this review thoroughly delves into the effects of CRP on electrochemical performance, and particularly focuses the current development of polymer electrolytes with different topological structures synthesized via CRP. Ending with providing the underlying challenges and perspectives, this review allows to deepen the comprehension of CRP methodologies on constructing polymer electrolytes, and offers the scientific guidance for shaping the high-performance CRP-derived polymer electrolytes. © 2025 Elsevier B.V., All rights reserved.","Controlled Radical Polymerization; Lithium Batteries; Solid-state Polymer Electrolytes; Topological Structures; Atom Transfer Radical Polymerization; Solid Electrolytes; Solid-state Batteries; Topology; Controlled Radical Polymerization; Energy Density; Limited Energies; Liquid Electrolytes; Optimisations; Performance; Polymer Electrolyte; Safety Risks; Solid State Polymer Electrolyte; Topological Structure; Lithium Batteries"
"Development of electrolysis systems for ambient temperature CO2 reduction","2025","EnergyChem","0","10.1016/j.enchem.2025.100156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003292661&doi=10.1016%2Fj.enchem.2025.100156&partnerID=40&md5=5e1a43c3202de22c4b2362af01733c53","The electrochemical CO<inf>2</inf> reduction reaction (CO<inf>2</inf>RR) at ambient temperature holds great promise as a technology for storing intermittent and fluctuating renewable electricity while producing valuable carbon-containing feedstocks. As such, it has the potential to play a crucial role in closing the carbon cycle. Over the past decade, extensive research has focused on developing catalysts that enhance selectivity and reduce the overpotential of CO<inf>2</inf>RR. However, further attention should be directed towards the design of electrolyzers and integrated systems to achieve high current densities, improved energy efficiency, carbon efficiency, and stability. This review categorizes electrolysis systems into H-cells, gas diffusion electrode (GDE)-based flow cells, and membrane electrode assemblies (MEAs). In H-cells, the relatively low solubility of CO<inf>2</inf> in aqueous electrolytes limits current density, and strategies to enhance CO<inf>2</inf> mass transport are discussed. For GDE-based flow cells, strategies to maintain the hydrophobicity of GDEs are examined. Additionally, the impact of pH and alkali cations on energy efficiency, carbon efficiency, and anti-flooding performance is reviewed. MEAs with anion exchange membranes, cation exchange membranes, bipolar membranes, and solid-state electrolytes are introduced, with an exploration of the challenges associated with each type. Furthermore, tandem systems for CO<inf>2</inf><inf>[sbnd]</inf>CO[sbnd]C<inf>2+</inf> conversion are presented, including single cells incorporating two types of catalysts and cascades of two individual cells for CO<inf>2</inf>RR to CO and CO reduction, respectively. Finally, the review outlines future directions for CO<inf>2</inf>RR electrolysis systems and highlights the potential contributions of operando technologies and theoretical simulations. © 2025 Elsevier B.V., All rights reserved.","Co2 Reduction; Electrocatalysis; Electrolyzer; Gas Diffusion Electrode; Membrane Electrode Assembly; Diffusion In Gases; Electrolysis; Gas Sensing Electrodes; Kyoto Protocol; Ambients; Carbon Efficiency; Co 2 Reduction; Electrolysis Systems; Electrolyzers; Energy; Gas Diffusion Electrodes; Membrane Electrode Assemblies; Reduction Reaction; ]+ Catalyst; Carbon Electrodes"
"Recent advance and perspectives on CO tolerant platinum-based alloys in PEMFC anodes","2025","EnergyChem","0","10.1016/j.enchem.2025.100158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003145174&doi=10.1016%2Fj.enchem.2025.100158&partnerID=40&md5=a6f4d37d39b1b33e27ac362f10a8b8ce","Global warming and energy consumption have spurred the research and development of proton exchange membrane fuel cells (PEMFCs), a high-energy-density and zero-emission energy conversion device. Currently, the predominant commercial catalyst employed for hydrogen oxidation reaction (HOR) in PEMFCs anode is Pt/C, and the efficiency of Pt-based catalysts is significantly undermined by the presence of CO mixed in the PEMFCs anode reactants. The incorporation of transition metals can modify the electronic structure of Pt-base catalysts and reduce the adsorption energy of CO on the platinum surface, thereby enhancing the CO tolerance. This timely review aims to present the crucial role of Pt-based alloy strategies for anti-CO poisoning of PEMFC anodes and performance optimization for HOR, and to offer a current overview of the research field. By following the demonstration on the CO poisoning mechanisms and the alloy design principles for anodic HOR in PEMFCs, recent progress on CO-resistant Pt-based alloy catalysts for high-efficiency PEMFCs is briefly presented. Finally, future challenges and directions for the commercialization of Pt-based alloy catalysts are reviewed. This review offers the significant insights into Pt-based alloys as a cutting-edge strategy for enhanced CO tolerance and favorable HOR for high performance PEMFCs. © 2025 Elsevier B.V., All rights reserved.","Co Tolerance; Hydrogen Oxidation Reaction; Proton Exchange Membrane Fuel Cells; Pt-based Alloy; Anode Materials; Anodes; Cobalt Alloys; Holmium Alloys; Alloy Catalyst; Co Poisoning; Co-tolerance; Energy-consumption; Fuel Cell Anodes; Higher Energy Density; Hydrogen Oxidation Reaction; Proton-exchange Membranes Fuel Cells; Pt-based Alloy; Research And Development; Platinum Alloys"
"Recent advances in high-entropy solid electrolytes for all-solid-state lithium batteries","2025","EnergyChem","2","10.1016/j.enchem.2025.100157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002301777&doi=10.1016%2Fj.enchem.2025.100157&partnerID=40&md5=ace3d84b8ebcc6ce1ad75b7ee3effd7f","Rechargeable batteries have made important progress as an important means of sustainable development because of the non-renewable nature of fossil fuels has increased the demand for energy. As the “heart” of a rechargeable battery, the electrolyte directly determines the cycling performance of the battery. At present, electrolytes often have problems such as limited operating temperature and unsatisfactory ionic conductivity at room temperature. The introduction of electrode materials into the high-entropy strategy has improved the cycling performance of batteries, so the corresponding high-entropy electrolytes (HEEs) have high research value due to their disordered structure. However, there is still a lack of clear concepts and guidelines for efficient synthesis of HEEs, and the mechanism of corresponding performance improvement is unclear, which restricts the further development of HEEs. Herein, we summarize the application and working mechanism of HEEs in all-solid-state batteries. First, the development history and related definition of HEES are introduced. Then we discuss the application of HEES in existing solid electrolyte systems and its corresponding action mechanism, focusing on its improvement in ionic conductivity and interface wettability. Then, the current common synthesis methods and advanced characterization techniques of HEEs are introduced. Finally, the currently unsolved problems of HEEs and the corresponding potential development pathway are proposed. This review provides new ideas and insights for the study of high-performance solid-state electrolytes for commercial applications. © 2025 Elsevier B.V., All rights reserved.","High Entropy; Interfacial Contact; Ionic Conductivity; Npd; Solid Electrolyte; All-solid-state Lithium Battery; Cycling Performance; Electrode Material; Energy; High Entropy; Interfacial Contact; Non-renewable; Npd; Operating Temperature; Performance; Solid-state Batteries"
"Polymer-based electrolytes with high mechanical strength for multifunctional structural batteries","2025","EnergyChem","0","10.1016/j.enchem.2025.100154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000983599&doi=10.1016%2Fj.enchem.2025.100154&partnerID=40&md5=0336891b25b27e3d20418be42684ef8a","Structural batteries are an emerging class of multifunctional electrochemical energy storage devices that combine mechanical load-bearing capabilities with energy storage. These batteries aim to address the weight and volume efficiency challenges faced by conventional batteries, particularly in electric vehicles, thereby extending driving range. As a crucial component of structural batteries, the electrolyte must not only facilitate ion transport but also provide mechanical integrity under flexural loads or impacts. However, developing a structurally strong electrolyte is a significant challenge, as high mechanical strength often leads to reduced ionic conductivity. Therefore, the full potential of structural batteries can only be realized once suitable multifunctional structural electrolytes are developed. This review examines the state-of-the-art in structural electrolytes, focusing on thermoplastic and thermoset polymer-based electrolytes for structural batteries. It explores the underlying ion transport mechanisms and mechanical enhancement strategies. The review also discusses how electrolyte composition—such as the choice of polymer matrix, inorganic fillers, solvents, and ionic liquid additives—affects both mechanical and electrochemical properties, as well as the role of interfacial stability. Furthermore, block copolymer electrolytes and molecular ion composite solid electrolytes based on rigid-rod polymers are proposed as promising candidates for structural electrolytes. The article also addresses the challenges and future prospects for these materials, aiming to provide insights into overcoming the limitations of polymer-based electrolytes with high mechanical strength, thus promoting their practical application in structural batteries. © 2025 Elsevier B.V., All rights reserved.","Ion Transport; Mechanical Property; Polymer-based Electrolyte; Solid Electrolyte; Structural Battery; Structural Electrolyte; Battery Storage; Elastin; Elastomers; Hydroelasticity; Silicones; Solid-state Batteries; Thermosets; Electrochemical Energy Storage Devices; High Mechanical Strength; Ion-transport; Mechanical; Multifunctionals; Polymer Based; Polymer-based Electrolyte; Property; Structural Batteries; Structural Electrolyte; Solid Electrolytes"
