"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Convolutional spectral kernel learning with generalization guarantees","2022","Artificial Intelligence","10.1016/j.artint.2022.103803","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139729875&doi=10.1016%2Fj.artint.2022.103803&partnerID=40&md5=4b70682d0a29579769ed70d956b710fc","Kernel methods are powerful tools to capture nonlinear patterns behind given data but often lead to poor performance on complicated tasks compared to convolutional neural networks. The reason is that kernel methods are still shallow and fully connected models, failing to reveal hierarchical features and local interdependencies. In this paper, to acquire hierarchical and local knowledge, we incorporate kernel methods with deep architectures and convolutional operators in a spectral kernel learning framework. Based on the inverse Fourier transform and Rademacher complexity theory, we provide the generalization error bounds for the proposed model and prove that under suitable initialization, deeper networks lead to tighter error bounds. Inspired by theoretical findings, we finally completed the convolutional spectral kernel network (CSKN) with two additional regularizers and an initialization strategy. Extensive ablation results validate the effectiveness of non-stationary spectral kernel, multiple layers, additional regularizers, and the convolutional filters, which coincide with our theoretical findings. We further devise a VGG-type 8-layers CSKN, and it outperforms the existing kernel-based networks and popular CNN models on the medium-sized image classification tasks. © 2022 Elsevier B.V., All rights reserved.","Convolutional Operator; Cosine Activation; Generalization Analysis; Non-stationary Spectral Kernel; Rademacher Complexity; Activation Analysis; Complex Networks; Convolutional Neural Networks; Error Analysis; Convolutional Operator; Cosine Activation; Generalisation; Generalization Analyse; Kernel-methods; Non-stationary Spectral Kernel; Nonstationary; Rademacher Complexity; Spectral Kernel Learning; Spectral Kernels; Convolution"
"The metric distortion of multiwinner voting","2022","Artificial Intelligence","10.1016/j.artint.2022.103802","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139592482&doi=10.1016%2Fj.artint.2022.103802&partnerID=40&md5=2e7c9f635d24287130901a04221377f2","We extend the recently introduced framework of metric distortion to multiwinner voting. In this framework, n agents and m alternatives are located in an underlying metric space. The exact distances between agents and alternatives are unknown. Instead, each agent provides a ranking of the alternatives, ordered from the closest to the farthest. Typically, the goal is to select a single alternative that approximately minimizes the total distance from the agents, and the worst-case approximation ratio is termed distortion. In the case of multiwinner voting, the goal is to select a committee of k alternatives that (approximately) minimizes the total cost to all agents. We consider the scenario where the cost of an agent for a committee is her distance from the q-th closest alternative in the committee. We reveal a surprising trichotomy on the distortion of multiwinner voting rules in terms of k and q: The distortion is unbounded when q⩽k/3, asymptotically linear in the number of agents when k/3<q⩽k/2, and constant when q>k/2. © 2022 Elsevier B.V., All rights reserved.","Distortion; Mutliwinner Voting; Social Choice; Approximation Ratios; Asymptotically Linear; K Constants; Metric Distortions; Metric Spaces; Mutliwinner Voting; Social Choice; Total Distances; Voting Rules"
"Defense coordination in security games: Equilibrium analysis and mechanism design","2022","Artificial Intelligence","10.1016/j.artint.2022.103791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139592152&doi=10.1016%2Fj.artint.2022.103791&partnerID=40&md5=3f1d982d0ead5c5530200f3f12a473ac","Real-world security scenarios sometimes involve multiple defenders: security agencies of two or more countries might patrol the same border areas, and domestic security agencies might also operate in the same locations when their areas of jurisdiction overlap. Motivated by these scenarios and the observation that uncoordinated movements of the defenders may lead to an inefficient defense, we introduce a model of multi-defender security games and explore the possibility of improving efficiency by coordinating the defenders — specifically, by pooling the defenders' resources and allocating them jointly. The model generalizes the standard model of Stackelberg security games, where a defender (now a group of defenders) allocates security resources to protect a set of targets, and an attacker picks the best target to attack. In particular, we are interested in the situation with heterogeneous defenders, who may value the same target differently. Our task is twofold. First, we need to develop a good understanding of the uncoordinated situation, as the baseline to be improved. To this end we formulate a new equilibrium concept, and prove that an equilibrium under this concept always exists and can be computed efficiently. Second, to coordinate the heterogeneous defenders we take a mechanism design perspective and aim to find a mechanism to generate joint resource allocation strategies. We seek a mechanism that improves the defenders' utilities upon the uncoordinated baseline, achieves Pareto efficiency, and incentivizes the defenders to report their true incentives and execute the recommended strategies. Our analysis establishes several impossibility results, which indicate the intrinsic difficulties of defense coordination. Specifically, we show that even the basic properties listed above are in conflict with each other: no mechanism can simultaneously satisfy them all, or even some proper subsets of them. In terms of positive results, we present mechanisms that satisfy all combinations of the properties that are not ruled out by our impossibility results, thereby providing a comprehensive profile of the mechanism design problem with respect to the properties considered. © 2022 Elsevier B.V., All rights reserved.","Defense Coordination; Mechanism Design; Multiple Leaders; Nash-stackelberg Equilibrium; Security Games; Stackelberg Games; Machine Design; Network Security; Pareto Principle; Defense Coordination; Impossibility Results; Mechanism Design; Multiple Leaders; Nash-stackelberg Equilibrium; Property; Security Agencies; Security Games; Stackelberg Equilibrium; Stackelberg Games; Efficiency"
"Reasoning about general preference relations","2022","Artificial Intelligence","10.1016/j.artint.2022.103793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139370382&doi=10.1016%2Fj.artint.2022.103793&partnerID=40&md5=23d7cb3b1601fd5d7950f9548f93ad02","Preference relations are at the heart of many fundamental concepts in artificial intelligence, ranging from utility comparisons, to defeat among strategies and relative plausibility among states, just to mention a few. Reasoning about such relations has been the object of extensive research and a wealth of formalisms exist to express and reason about them. One such formalism is conditional logic, which focuses on reasoning about the “best” alternatives according to a given preference relation. A “best” alternative is normally interpreted as an alternative that is either maximal (no other alternative is preferred to it) or optimal (it is at least as preferred as all other alternatives). And the preference relation is normally assumed to satisfy strong requirements (typically transitivity and some kind of well-foundedness assumption). Here, we generalize this existing literature in two ways. Firstly, in addition to maximality and optimality, we consider two other interpretations of “best”, which we call unmatchedness and acceptability. Secondly, we do not inherently require the preference relation to satisfy any constraints. Instead, we allow the relation to satisfy any combination of transitivity, totality and anti-symmetry. This allows us to model a wide range of situations, including cases where the lack of constraints stems from a modeled agent being irrational (for example, an agent might have preferences that are neither transitive nor total nor anti-symmetric) or from the interaction of perfectly rational agents (for example, a defeat relation among strategies in a game might be anti-symmetric but not total or transitive). For each interpretation of “best” (maximal, optimal, unmatched or acceptable) and each combination of constraints (transitivity, totality and/or anti-symmetry), we study the sets of valid inferences. Specifically, in all but one case we introduce a sound and strongly complete axiomatization, and in the one remaining case we show that no such axiomatization exists. © 2022 Elsevier B.V., All rights reserved.","Conditional Logic; Preference Relations; Artificial Heart; Anti-symmetric; Conditional Logic; Fundamental Concepts; Maximality; Optimality; Preference Relation; Rational Agents; Relative Plausibilities; Two Ways; Well-foundedness; Computer Circuits"
"Measuring power in coalitional games with friends, enemies and allies","2022","Artificial Intelligence","10.1016/j.artint.2022.103792","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139349048&doi=10.1016%2Fj.artint.2022.103792&partnerID=40&md5=7df373c5b1ef3f14fb423ce30652f978","We extend the well-known model of graph-restricted games due to Myerson to signed graphs. In our model, it is possible to explicitly define not only that some players are friends (as in Myerson's model) but also that some other players are enemies. As such our games can express a wider range of situations, e.g., animosities between political parties. We define the value for signed graph games using the axiomatic approach that closely follows the celebrated characterization of the Myerson value. Furthermore, we propose an algorithm for computing an arbitrary semivalue, including the extension of the Myerson value proposed by us. We also develop a pseudo-polynomial algorithm for power indices in weighted voting games for signed graphs with bounded treewidth. Moreover, we consider signed graph games with a priori defined alliances (unions) between players and propose algorithms to compute the extension of the Owen value to this setting. © 2022 Elsevier B.V., All rights reserved.","Coalitional Games; Myerson Value; Restrictions; Signed Graphs; Axiomatic Approach; Coalitional Game; Graph Games; Graph-restricted Game; Myerson Value; Political Parties; Power; Restriction; Semivalue; Signed Graphs"
"Neural large neighborhood search for routing problems","2022","Artificial Intelligence","10.1016/j.artint.2022.103786","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139342871&doi=10.1016%2Fj.artint.2022.103786&partnerID=40&md5=33bd83598c98efcd868f9854fd8a20f9","Learning how to automatically solve optimization problems has the potential to provide the next big leap in optimization technology. The performance of automatically learned heuristics on routing problems has been steadily improving in recent years, but approaches based purely on machine learning are still outperformed by state-of-the-art optimization methods. To close this performance gap, we propose a novel large neighborhood search (LNS) framework for vehicle routing that integrates learned heuristics for generating new solutions. The learning mechanism is based on a deep neural network with an attention mechanism and has been especially designed to be integrated into an LNS search setting. We evaluate our approach on the capacitated vehicle routing problem (CVRP), the split delivery vehicle routing problem (SDVRP), and the capacitated team orienteering problem (CTOP). We show that the NLNS approach is able to outperform a handcrafted LNS on the CVRP and SDVRP and match the performance of a standard LNS on the CTOP. NLNS is thus able to quickly and effectively learn high performance heuristics to maneuver through the search space of difficult routing problems, coming close to the performance of state-of-the-art optimization approaches. © 2022 Elsevier B.V., All rights reserved.","Combinatorial Optimization; Heuristic Search; Learning To Optimize; Reinforcement Learning; Routing Problems; Combinatorial Optimization; Deep Neural Networks; Heuristic Algorithms; Heuristic Methods; Vehicle Routing; Vehicles; Capacitated Vehicle Routing Problem; Heuristic Search; Large Neighbourhood Searches; Learning To Optimize; Performance; Reinforcement Learnings; Routing Problems; Split Delivery Vehicle Routing; State Of The Art; Reinforcement Learning"
"Two's company, three's a crowd: Consensus-halving for a constant number of agents","2022","Artificial Intelligence","10.1016/j.artint.2022.103784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139257048&doi=10.1016%2Fj.artint.2022.103784&partnerID=40&md5=98a81c9328da3d3df7fb67cde65a5ecd","We consider the ε-CONSENSUS-HALVING problem, in which a set of heterogeneous agents aim at dividing a continuous resource into two (not necessarily contiguous) portions that all of them simultaneously consider to be of approximately the same value (up to ε). This problem was recently shown to be PPA-complete, for n agents and n cuts, even for very simple valuation functions. In a quest to understand the root of the complexity of the problem, we consider the setting where there is only a constant number of agents, and we consider both the computational complexity and the query complexity of the problem. For agents with monotone valuation functions, we show a dichotomy: for two agents the problem is polynomial-time solvable, whereas for three or more agents it becomes PPA-complete. Similarly, we show that for two monotone agents the problem can be solved with polynomially-many queries, whereas for three or more agents, we provide exponential query complexity lower bounds. These results are enabled via an interesting connection to a monotone Borsuk-Ulam problem, which may be of independent interest. For agents with general valuations, we show that the problem is PPA-complete and admits exponential query complexity lower bounds, even for two agents. © 2022 Elsevier B.V., All rights reserved.","Computational Complexity; Consensus-halving; Fair Division; Query Complexity; Robertson-webb; Polynomial Approximation; Consensus-halfing; Exponentials; Fair Divisions; Heterogeneous Agents; Low Bound; Query Complexity; Robertson-webb; Simple++; Two Agents; Valuation Function; Computational Complexity"
"Gradient-based mixed planning with symbolic and numeric action parameters","2022","Artificial Intelligence","10.1016/j.artint.2022.103789","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139231688&doi=10.1016%2Fj.artint.2022.103789&partnerID=40&md5=3a0129500486f325655346ee85c632ac","Dealing with planning problems with both logical relations and numeric changes in real-world dynamic environments is challenging. Existing numeric planning systems for the problem often discretize numeric variables or impose convex constraints on numeric variables, which harms the performance when solving problems. In this paper, we propose a novel algorithm framework to solve numeric planning problems mixed with logical relations and numeric changes based on gradient descent. We cast the numeric planning with logical relations and numeric changes as an optimization problem. Specifically, we extend syntax to allow parameters of action models to be either objects or real-valued numbers, which enhances the ability to model real-world numeric effects. Based on the extended modeling language, we propose a gradient-based framework to simultaneously optimize numeric parameters and compute appropriate actions to form candidate plans. The gradient-based framework is composed of an algorithmic heuristic module based on propositional operations to select actions and generate constraints for gradient descent, an algorithmic transition module to update states to next ones, and a loss module to compute loss. We repeatedly minimize loss by updating numeric parameters and compute candidate plans until it converges into a valid plan for the planning problem. In the empirical study, we exhibit that our algorithm framework is both effective and efficient in solving planning problems mixed with logical relations and numeric changes, especially when the problems contain obstacles and non-linear numeric effects. © 2022 Elsevier B.V., All rights reserved.","Ai Planning; Mixed Planning; Gradient Methods; Optimization; Ai Planning; Algorithm Framework; Algorithmics; Gradient Based; Gradient-descent; Logical Relations; Mixed Planning; Planning Problem; Real-world; World Dynamics; Modeling Languages"
"Certifiably robust interpretation via Rényi differential privacy","2022","Artificial Intelligence","10.1016/j.artint.2022.103787","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139049053&doi=10.1016%2Fj.artint.2022.103787&partnerID=40&md5=b07e3b8b1d88d479a6f4bf7a5bcec022","Motivated by the recent discovery that the interpretation maps of CNNs could easily be manipulated by adversarial attacks against network interpretability, we study the problem of interpretation robustness from a new perspective of Rényi differential privacy (RDP). The advantages of our Rényi-Robust-Smooth (RDP-based interpretation method) are three-folds. First, it can offer provable and certifiable top-k robustness. That is, the top-k important attributions of the interpretation map are provably robust under any input perturbation with bounded ℓ<inf>d</inf>-norm (for any d≥1, including d=∞). Second, our proposed method offers ∼12% better experimental robustness than existing approaches in terms of the top-k attributions. Remarkably, the accuracy of Rényi-Robust-Smooth also outperforms existing approaches. Third, our method can provide a smooth tradeoff between robustness and computational efficiency. Experimentally, its top-k attributions are twice more robust than existing approaches when the computational resources are highly constrained. © 2022 Elsevier B.V., All rights reserved.","Differential Privacy; Interpretation; Machine Learning; Neural Networks; Robustness; Computational Efficiency; Machine Learning; Computational Resources; Differential Privacies; Input Perturbation; Interpretability; Interpretation; Interpretation Methods; Machine-learning; Neural-networks; Robustness; Three Folds; Neural Networks"
"Towards convergence rate analysis of random forests for classification","2022","Artificial Intelligence","10.1016/j.artint.2022.103788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138836036&doi=10.1016%2Fj.artint.2022.103788&partnerID=40&md5=26323b83549d177c6b78f14a29c6b8ef","Random forests have been one of the successful ensemble algorithms in machine learning, and the basic idea is to construct a large number of random trees individually and make predictions based on an average of their predictions. The great successes have attracted much attention on theoretical understandings of random forests, mostly focusing on regression problems. This work takes one step towards the convergence rates of random forests for classification. We present the first finite-sample rate O(n−1/(8d+2)) on the convergence of purely random forests for binary classification, which can be improved to be of O(n−1/(3.87d+2)) by considering the midpoint splitting mechanism. We introduce another variant of random forests, which follows Breiman's original random forests but with different mechanisms on splitting dimensions and positions. We present the convergence rate O(n−1/(d+2)(ln⁡n)1/(d+2)) for the variant of random forests, which reaches the minimax rate, except for a factor (ln⁡n)1/(d+2), of the optimal plug-in classifier under the L-Lipschitz assumption. We achieve the tighter convergence rate O(ln⁡n/n) under some assumptions over structural data. This work also takes one step towards the convergence rate of random forests for multi-class learning, and presents the same convergence rates of random forests for multi-class learning as that of binary classification, yet with different constants. We finally provide empirical studies to support the theoretical analysis. © 2022 Elsevier B.V., All rights reserved.","Classification; Consistency; Convergence; Machine Learning; Random Forests; Decision Trees; Random Forests; Rate Constants; Sampling; Binary Classification; Consistency; Convergence; Convergence Rates; Ensemble Algorithms; Machine-learning; Multi-class Learning; Rate Analysis; Splittings; Machine Learning"
