"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Acupuncture for oculomotor nerve palsy:A systematic review and meta-analysis","2022","Complementary Therapies in Medicine","10.1016/j.ctim.2022.102888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143917071&doi=10.1016%2Fj.ctim.2022.102888&partnerID=40&md5=88e4966f20c775ddcd6d9fc3dba3f53a","Background: To evaluate the safety and efficacy of acupuncture in the treatment of oculomotor nerve palsy (ONP). Methods: The following database will be required from PubMed, Cochrane Library, Medline, Chinese Biomedical Literature Database, China National Knowledge Infrastructure (CNKI), Wanfang data. Randomized controlled trials (RCTs) comparing acupuncture alone versus no treatment/another active therapy/sham acupuncture or comparing acupuncture with another active therapy versus the same active therapy were included. Meta-analysis was conducted according to the 2020 PRISMA guidelines. Data was analyzed using RevMan 5.4 software. Results were reported as risk ratios (RR) for dichotomous outcomes or mean differences (MD) for continuous outcomes, with 95 % confidence intervals (CI). The Cochrane risk of bias tool was used to access the methodological quality of the trails. Results: Eighteen RCTs with 1150 participants comparing acupuncture versus other therapies were included. The results showed a significant differences in the clinical efficiency rate (RR = 1.30, 95 %CI = 1.23–1.37, P < 0.001), scores of diplopia (MD = − 0.78, 95 %CI = − 1.39 to − 0.77, P < 0.001), palpebral fissure size (MD = 1.04, 95 %CI = 0.41–1.68, P = 0.001), the pupil diameter (MD = − 0.56, 95 %CI = − 0.70 to − 0.42, P < 0.001), quality of life (MD = 8.96, 95 %CI = 6.79–11.13, P < 0.001) between the experiment and control groups. However, there were no significant differences in the adverse effects (RR = 0.52, 95 %CI = 0.22–1.22, P = 0.13). The quality of the evidence test by GRADE was low or very low. Conclusion: Most included studies suggested that acupuncture was more effective than the control group in the treatment of ONP. However, the quality evidence of most of the studies was low and most of them were performed in China. © 2023 Elsevier B.V., All rights reserved.","Acupuncture; Meta-analysis; Oculomotor Nerve Palsy; Systematic Review; Adenosine; Alpha Tocopherol; Choline; Cobamamide; Coenzyme A; Cyanocobalamin; Cytidine Diphosphate; Inosine; Mecobalamin; Oxiracetam; Thiamine; Vitamin B Group; Adenosine; Alpha Tocopherol; Antibiotic Agent; Choline; Cobamamide; Coenzyme A; Cyanocobalamin; Cytidine Diphosphate; Glucocorticoid; Herbaceous Agent; Inosine; Mecobalamin; Oxiracetam; Thiamine; Vasodilator Agent; Vitamin B Group; Acupuncture; Adverse Event; Article; Confidence Interval; Data Quality; Diplopia; Human; Meta Analysis; Ophthalmoplegia; Palpebral Fissure; Pupil Diameter; Quality Of Life; Systematic Review; Treatment Outcome; China; Oculomotor Nerve Disease; Procedures; Acupuncture Therapy; Humans; Oculomotor Nerve Diseases; Quality Of Life"
"Dose-dependent effect of vinegar on blood pressure: A GRADE-assessed systematic review and meta-analysis of randomized controlled trials","2022","Complementary Therapies in Medicine","10.1016/j.ctim.2022.102887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143916935&doi=10.1016%2Fj.ctim.2022.102887&partnerID=40&md5=d76626733f6fa295537c0290adf8aee7","Background: There are controversial findings regarding the effect of vinegar on blood pressure based on the evidence accumulated so far. Methods: A systematic search was conducted through PubMed, Scopus, and ISI Web of Science up to April 2022. We estimated the change in blood pressure for each 30 ml/d increments in vinegar consumption in each trial and then, calculated the mean difference (MD) and 95 %CI using a fixed-effects model. A dose-response meta-analysis of differences in means provided us with the estimation of the dose-dependent effect. The certainty of evidence was rated by the GRADE tool. Results: Each 30 ml/d increment in vinegar consumption reduced SBP by − 3.25 mmHg (95 %CI: − 5.54, − 0.96; I2 = 67.5 %, GRADE = low). Levels of SBP decreased linearly and slightly (P<inf>nonlinearity</inf> = 0.69, P<inf>dose-response</inf> = 0.02) up to vinegar consumption of 30 ml/d (MD30 ml/d: − 3.36, 95 %CI: − 5.77, − 0.94). Each 30 ml/d increment in vinegar consumption reduced DBP by − 3.33 mmHg (95 %CI: − 4.16, − 2.49; I2 = 57.1 %, GRADE = low). Levels of DBP decreased linearly and slightly (P<inf>nonlinearity</inf> = 0.47, P<inf>dose-response</inf> = 0.004) up to vinegar consumption of 30 ml/d (MD30 ml/d: − 2.61, 95 %CI: − 4.15, − 1.06) Conclusions: According to the findings, vinegar significantly reduces systolic and diastolic blood pressure and may be considered an adjunct to hypertension treatment. Thus, clinicians could incorporate vinegar consumption as part of their dietary advice for patients. © 2023 Elsevier B.V., All rights reserved.","Acetic Acid; Blood Pressure; Dose-response Meta-analysis; Hypertension; Systematic Review; Vinegar; Vinegar; Acetic Acid; Acetic Acid; Vinegar; Acetic Acid; Blood Pressure; Diastolic Blood Pressure; Drug Effect; Drug Use; Grade Approach; Human; Hypertension; Meta Analysis; Quantitative Analysis; Randomized Controlled Trial (topic); Review; Systematic Review; Systolic Blood Pressure; Acetic Acid; Blood Pressure; Humans; Hypertension; Randomized Controlled Trials As Topic"
"Corrigendum to “Treatment of infant colic with craniosacral therapy. A randomized controlled trial” [Complement Ther Med 71 (2022) 102885](S0965229922000875)(10.1016/j.ctim.2022.102885)","2022","Complementary Therapies in Medicine","10.1016/j.ctim.2022.102903","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143798127&doi=10.1016%2Fj.ctim.2022.102903&partnerID=40&md5=4e7b5d0cb4bfc6614305dbaa79cacba1","The authors regret to inform that this study consist in a secondary analysis of the “Effectiveness of craniosacral therapy in the treatment of infantile colic. A randomized controlled trial” study with ID NCT03675763. Also, in the methods section page 2 paragraph 2.1., was referred that the study was based at a prior experiment which is wrong because it refers the second analysis of the results of the same trial mentioned above. The authors would like to apologise for any inconvenience caused. © 2022 Elsevier B.V., All rights reserved.","Erratum"
"Patients Receiving Integrative Medicine Effectiveness Registry (PRIMIER) of the BraveNet practice-based research network: Outcomes of the PRIMIER cohort","2022","Complementary Therapies in Medicine","10.1016/j.ctim.2022.102904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142520261&doi=10.1016%2Fj.ctim.2022.102904&partnerID=40&md5=2f448bb6ee16e47f7a4afe57086ab454","Objective: To evaluate the real-world effectiveness of integrative medicine treatment on quality of life using the Patients Receiving Integrative Medicine Effectiveness Registry (PRIMIER). Design: A prospective, longitudinal, observational evaluation of patient reported outcomes for quality of life. Setting: Participants were patients from 17 integrative medicine clinics who received personalized, integrative medicine treatments between August 2013 and October 2017. Main outcome measures: Participants completed the Patient Reported Outcomes Measurement Information System (PROMIS)− 29, Perceived Stress Scale-4 (PSS-4), and the Patient Activation Measure (PAM) at index (baseline) visit and at 2, 4, 6, and 12 month follow-up assessments. Electronic health record data included diagnostic and billing codes/descriptions. A linear mixed-effects model was used to test whether outcomes changed from index through 12 months Results: During enrollment, 4883 participants began the assessment, 3658 completed the index measures, and 2374 (65 %) completed at least 1 follow-up assessment, had electronic health record data and at least 1 integrative medicine visit. Most participants (mean age=51.4 years) were white (88.4 %), female (79.7 %), and college-educated (78.5 %). Significant improvements (p < 0.001) were observed at 12-months on all PROMIS-29 measures, PSS-4, and PAM. At 12 months, clinically meaningful improvements were found for 38 % and 28 % on PROMIS-29 Mental and Physical Health Summary scores respectively. Conclusions: PRIMIER is the largest study to assess the real-world effectiveness of integrative medicine. Results indicate a statistical and clinical improvement across all measures at 12 months. Future research could explore whether dosing, timing or combinations of integrative medicine interventions have differential impacts on quality of life. © 2022 Elsevier B.V., All rights reserved.","Acupuncture; Integrative Medicine; Observational Study; Practice-based Research; Promis; Quality Of Life; Stress; Acupuncture; Adult; Article; Cohort Analysis; Comparative Effectiveness; Electronic Health Record; Female; Follow Up; Health; Human; Information System; Integrative Medicine; Major Clinical Study; Male; Middle Aged; Multicenter Study; Observational Study; Outcome Assessment; Patient-reported Outcome; Perceived Stress Scale; Physiological Stress; Quality Of Life; Patient; Prospective Study; Female; Humans; Integrative Medicine; Middle Aged; Patient Reported Outcome Measures; Patients; Prospective Studies; Quality Of Life"
"Proctoclysis for rehydration in children – A scoping review and a pilot survey among medical doctors","2022","Complementary Therapies in Medicine","10.1016/j.ctim.2022.102902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142140419&doi=10.1016%2Fj.ctim.2022.102902&partnerID=40&md5=04532c15ca85aa55df76003576ff02b5","Although proctoclysis (enema) is a historically proven, safe and cost-effective rehydration method that needs little training for users and can effectively replace intravenous hydration in different care settings, it is an uncommon choice for hydration in children with fever and is often missing in official guidelines. To evaluate the usefulness of proctoclysis, this study provides a scoping review of the existing literature. The matched literature was labelled in 5 categories, identifying 6 indication fields that are emphasized in the literature on rectal rehydration. The analysis showed that proctoclysis is mostly used in the context of diagnostic procedures, constipation or in the treatment of a gastrointestinal disease. It is also described as a quick, safe and cost-effective intervention for fluid replacement in emergency, critical care or resource-scarce settings. There are also socio-cultural variations in its use Additionally, we performed a survey on attitudes and experience of medical doctors towards proctoclysis based on a semi-structured questionnaire. In the survey, we analysed the experience of 35 medical doctors from 8 countries. Although we found a general acceptance of enema as beneficial in both hospitalized patients and in home care, doctors expressed the need for more experience with enema and the need for more education materials in order to effectively perform the procedure. Based on our findings, we suggest that further research is necessary examining the attitude towards proctoclysis among parents, nurses and doctors. Enema can have a considerable clinical advantage during home care for gastroenteritis or other infectious diseases with fever to prevent insufficient oral fluid intake resulting in a negative fluid balance. Risks and safety issues are rare and should be considered. However, due to its low level of social acceptability in order to reduce refusal rate, more education is necessary for both medical providers and parents. © 2023 Elsevier B.V., All rights reserved.","Enema; Fever Management; Proctoclysis; Rectal Rehydration; Scoping Review; Enema; Oral Rehydration Solution; Adverse Event; Article; Child; Constipation; Cost Effectiveness Analysis; Diagnostic Procedure; Fluid Balance; Fluid Intake; Fluid Resuscitation; Gastroenteritis; Gastrointestinal Disease; Health Survey; Home Care; Hospital Patient; Human; Intestinal Intussusception; Palliative Therapy; Physician; Rectal Drug Administration; Rehydration; Risk Factor; Social Acceptance; Social Psychology; Structured Questionnaire; Child Parent Relation; Fluid Therapy; Procedures; Questionnaire; Child; Fluid Therapy; Gastroenteritis; Humans; Parents; Physicians; Surveys And Questionnaires"
"A cross-sectional survey of self-medication with Traditional Chinese Medicine for treatment and prevention of COVID-19","2022","Complementary Therapies in Medicine","10.1016/j.ctim.2022.102898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141993759&doi=10.1016%2Fj.ctim.2022.102898&partnerID=40&md5=847b4dcf91317a1de5ad3684bc267edf","Objective: To investigate user behavioural profiles and the prevalence of self-medication with traditional Chinese medicine (TCM) for COVID-19 among the general public in China. Design: Cross-sectional study. Setting: Self-administered online survey was carried out between January and June 2021 in China. Results: A total of 1132 complete responses were received from a nationwide sample. A considerable proportion viewed TCM to be more effective than Western medicine for treating COVID-19 (67.1 %) and stated that it is safer to use TCM (63.5 %) and easier to access TCM for treating COVID-19 (63.5 %). A total of 16.4 % (95 %CI 14.3–18.7) reported ever self-medicating with TCM to resolve COVID-19 symptoms and 12.2 % (95 % CI 10.3–14.2) ever using TCM to prevent SARS-CoV-2 infection. Lianhua Qingwen capsule/granule (53.2 %), Ganmao granule (50.5 %) and Banlangen granule (44.6 %) were most commonly used to resolve COVID-19 symptoms whereas Banlangen granule (60.1 %) was commonly used for the prevention of SARS-CoV-2 infection. Older age participants, from rural areas, with chronic diseases, higher socioeconomic status, and a positive attitude towards TCM were more likely to self-medicate using TCM to resolve COVID-19 symptoms. Conclusion: Self-medication with TCM during the COVID-19 pandemic for symptom control or prevention is prevalent. The findings of the user behavioural profile and types of TMCs commonly used in this study provide beneficial information for the development of strategies to improve public health-seeking behaviour and the performance of the country's healthcare system in the era of the COVID-19 pandemic. © 2022 Elsevier B.V., All rights reserved.","Covid-19; Preventive Behaviour; Self-medication; Traditional Chinese Medicine; Drugs, Chinese Herbal; Anti-sars-cov-2 Agent; Banlangen; Chinese Drug; Ganmao; Houttuynia Cordata Extract; Lanqin; Lianhua Qingwen; Lonicera Extract; Plant Medicinal Product; Pudilan; Qingkailing; Shenqu; Shuang Huang Lian; Unclassified Drug; Herbaceous Agent; Adult; Age Distribution; Aged; Article; China; Chinese Medicine; Chronic Disease; Confidence Interval; Controlled Study; Coronavirus Disease 2019; Cross-sectional Study; Drug Capsule; Drug Granule; Female; Health Behavior; Human; Infection Prevention; Major Clinical Study; Male; Medicinal Plant; Online System; Patient Compliance; Prevalence; Questionnaire; Rural Area; Sampling; Self Medication; Social Status; Western Medicine; Pandemic; Covid-19; Cross-sectional Studies; Drugs, Chinese Herbal; East Asian People; Humans; Medicine, Chinese Traditional; Pandemics; Sars-cov-2"
"The effect of music as an intervention for post-stroke depression: A systematic review and meta-analysis","2022","Complementary Therapies in Medicine","10.1016/j.ctim.2022.102901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141978069&doi=10.1016%2Fj.ctim.2022.102901&partnerID=40&md5=5ca6e90f086ad34bbdf66bef2f9d7d6e","Background: The clinical application of music therapy and research into its use and effectiveness are common in Western countries. The physiological role of this type of therapy is to stimulate the central nervous system through music, which may have a sedative, analgesic effect, and reduce negative emotions. Previous studies have confirmed that music can be effective for a range of psychological disorders, including post-stroke depression (PSD). There is, however, a lack of systematic evaluation of its effectiveness, and variability in sample size and in the quality of research has detracted from the persuasiveness of findings. Methods: Based on PRISMA 2020, articles on music therapy intervention in post-stroke depression were identified through the Web of Science, PubMed, EMBASE, CNKI, Weipu, and Wanfang databases. The retrieval time was taken from the establishment of the database to October 18, 2022. Two researchers conducted a stringent evaluation of the quality of the articles and extracted the data. They then used RevMan5.3 software for meta-analysis. Results: Twenty articles were listed, involving 1625 patients. Meta-analysis results showed that music therapy could lower scores on the Hamilton Depression Rating Scale (HDRS/Ham-D), the National Institutes of Health stroke scale and self-rated depression scale for patients with PSD. Music therapy was also shown to improve the Barthel Index for Activities of Daily Living and treatment efficacy of PSD patients. However, music therapy did not reduce the incidence of adverse reactions in PSD patients. Conclusion: Music therapy has benefits in improving HDRS/Ham-D score and symptoms of PSD patients, and could be more widely applied. © 2022 Elsevier B.V., All rights reserved.","Meta-analysis; Music Therapy; Post-stroke Depression; Systematic Review; Antidepressant Agent; Adverse Outcome; Article; Barthel Index; Hamilton Depression Rating Scale; Human; Meta Analysis; Music Therapy; National Institutes Of Health Stroke Scale; Nursing Care; Outcome Assessment; Post-stroke Depression; Self-rating Depression Scale; Systematic Review; Therapy Effect; Western Medicine; Cerebrovascular Accident; Complication; Daily Life Activity; Depression; Music; Procedures; Activities Of Daily Living; Depression; Humans; Music; Music Therapy; Stroke"
"Auricular acupressure for adverse events following immunization after COVID-19 vaccine injection: A multicentre, blinded, randomized controlled trial","2022","Complementary Therapies in Medicine","10.1016/j.ctim.2022.102900","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141814525&doi=10.1016%2Fj.ctim.2022.102900&partnerID=40&md5=295c192f9fcdc09179e532ba463ad2a1","Background: Some adverse events following immunization (AEFI) were observed in potential corelation with COVID-19 vaccination but without prevention or ongoing trial for it. We aimed to investigate efficacy of auricular acupressure (AuriAc) therapy in preventing AEFI after first dosage of the vaccine. Methods: We performed a multicentre randomized controlled trial with three arms, including AuriAc, SAuriAc (sham auricular acupressure), and TrAsU (treatment as usual) group, carried out in four medical institutions in Chengdu, China, from March 17th to April 23rd, 2021. We enrolled participants based on eligibility criteria and randomized them into three groups: AuriAc (AEFI-specific auricular points applied, n = 52), SAuriAc (n = 51) or TrAsU (n = 44) group. Primary outcomes were percentages of any AEFI and local pain, and secondary outcomes were percentages who reported other AEFI. They were followed at 1, 3, 5, 7, and 14 days, by phone or online, with severity evaluated. Results: 147 participants (73.47% females) were included with median age as 31 years (25–45, IQR). One day after the injection, participants in AuriAc group reported significant reduction on percentages of any AEFI [intention-to-treat, difference of percentage (DP) = −20.13, 95%CI: − 0.39, − 0.02, p = 0.01; per-protocol, DP = −22.21, 95%CI: − 0.40, − 0.03, P = 0.02] and local pain (per-protocol, DP = −18.40, 95%CI: −0.36, −0.01, P = 0.04), compared with TrAsU group. The effects were slight at other follow-up days and for other outcomes, and with a low percentage of mild local allergic reactions. Conclusions: We firstly explored potential of AuriAc for preventing AEFI related to COVID-19 vaccine injection, which is beneficial for the vaccine recipients, but evidence is limited. Trial registration: chictr.org.cn no. ChiCTR2100043210 (http://www.chictr.org.cn/showproj.aspx?proj=121519) © 2023 Elsevier B.V., All rights reserved.","Adverse Events; Auricular Acupressure; Covid-19; Randomized Controlled Trial; Vaccine; Covid-19 Vaccines; Vaccines; Sars-cov-2 Vaccine; Vaccine; Acupressure; Adult; Adverse Event; Alcohol Consumption; Anxiety; Arthralgia; Article; Auricular Acupuncture; Clinical Trial; Coronavirus Disease 2019; Coughing; Diarrhea; Drug Efficacy; Drug Safety; Education; Fatigue; Female; Headache; Human; Immunization; Injection Site Pain; Major Clinical Study; Male; Middle Aged; Multicenter Study; Myalgia; Nausea; Outcome Assessment; Randomized Controlled Trial; Single Blind Procedure; Smoking; Vero Cell Line; Visual Analog Scale; Vomiting; Controlled Study; Pain; Prevention And Control; Acupressure; Covid-19; Covid-19 Vaccines; Female; Humans; Male; Pain; Vaccines"
"A pilot controlled trial of a combination of electroacupuncture and psychological intervention for post-stroke depression","2022","Complementary Therapies in Medicine","10.1016/j.ctim.2022.102899","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141801207&doi=10.1016%2Fj.ctim.2022.102899&partnerID=40&md5=9fd51051e276b9b214bca2fcff41a5ca","Objective: This study was to investigate effects of a combination of electroacupuncture (EA) and psychological intervention (PI) for post-stroke depression (PSD) and provide treatment suggestions Methods: In a single-blind, randomized controlled trial, 49 patients with PSD were randomly divided into two groups, PI group (n = 23) and PI+EA group (n = 26). PI group received PI 2 times a week by a professional psychologist. In addition to PI treatment, PI+EA group was treated with EA at GB13 and HT7, 30 min, 5 times a week, 4 weeks as a course of treatment, a total of 12 weeks. The 17-item Hamilton Rating Scale for Depression (HAMD-17) and Lo Knapp Ron J's sleep score table were measured before treatment, 4 weeks, 8 weeks and 12 weeks after treatment. Results: After 12 weeks of PI or PI+EA therapy, 42 of 49 patients were effective and 7 were ineffective, with an effective rate of 85.7 %. Among them, the effective rate of PI group alone was 78.3 %, and the effective rate of PI+EA group was 92.3 %. Compared with values of PI, HAMD-17 values at 8 weeks of PI+EA treatment were significantly decreased (P < 0.01). At the same time, Sleep Score table was significantly decreased after PI+EA treatment (P < 0.05). Incidence of adverse events was not different in the two groups Conclusion: A combination of EA and PI maybe an effective and safe treatment option for PSD, which is statistically more significant than PI treatment alone. Due to small samples involved in this pilot study, further research is needed to see whether a combination of EA and PI will match the results of this pilot study. © 2023 Elsevier B.V., All rights reserved.","Electroacupuncture; Post-stroke Depression; Psychological Intervention; Stroke; Acupuncture; Adult; Aged; Article; Brain Hemorrhage; Brain Infarction; Cerebrovascular Accident; Clinical Article; Controlled Study; Depression; Dizziness; Electroacupuncture; Emotional Stress; Female; Hamilton Depression Rating Scale; Headache; Heart Rate; Human; Hypersomnia; Insomnia; Male; Motor Dysfunction; Nausea; Pilot Study; Post-stroke Depression; Randomization; Randomized Controlled Trial; Single Blind Procedure; Vomiting; Complication; Procedures; Psychology; Treatment Outcome; Depression; Electroacupuncture; Humans; Pilot Projects; Psychosocial Intervention; Single-blind Method; Stroke; Treatment Outcome"
"Feasibility of an adaptive riding pilot study and acceptability to dementia care partners: “Your spirits are lifted”","2022","Complementary Therapies in Medicine","10.1016/j.ctim.2022.102897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140989391&doi=10.1016%2Fj.ctim.2022.102897&partnerID=40&md5=d5ba56ad52b39e81eb889236144d4bce","Objectives: We sought to assess the feasibility and acceptability of an adaptive riding program with dyads (persons living with dementia, family care partners) and a gardening comparison condition. Design: This is a two-arm (adaptive riding and adaptive gardening), mixed methods, convergent, feasibility study that occurred February 2019-June 2019. Interventions: Upon enrollment, dyads (n=9) self-selected into either community-based adaptive riding (n=5) or adaptive gardening (n=4), two complementary interventions in Northern Colorado. Interventions occurred for hour-long, weekly sessions for eight weeks. Outcome measures: Feasibility was measured with recruitment (actual/planned, response rate, participants enrolled/month) retention, adherence to study procedures (attendance, retention, fidelity), and data collection processes (planned versus collected); and analyzed with descriptive statistics. Acceptability of adaptive riding was measured with pre/post care partner interviews and analyzed using thematic analysis. Afterwards, findings were converged. Results: We recruited n=10/24 dyads (6 dyads per month), with the highest response rates for referrals and in-person events, n=9 dyads enrolled. We adhered to study procedures with attendance (6/8 gardening, 8/8 riding), retention (100%), fidelity (100%) and data collected (98%). Care partners (n=5) found the adaptive riding intervention acceptable with two themes Overall hopes: “Joy in the present moment” and “Experience as a Whole: “Your spirits are lifted,” affirming quantitative attendance and retention data. Conclusion: Findings underscore the feasibility and acceptability of including care partners of persons living with dementia in complementary interventions involving horsemanship activities. Feasibility data can guide study designs and implementation processes for other nature-based complementary interventions for this population. © 2023 Elsevier B.V., All rights reserved.","Alzheimer's Disease; Horsemanship; Horticulture Therapy; Implementation Science; Nature-based; Therapeutic Riding; Activity Card Sort Community Living Version; Adaptive Gardening; Adaptive Riding Program; Adult; Aged; Article; Clinical Article; Clinical Assessment; Cognition Assessment; Community Based Adaptive Riding; Comparative Study; Controlled Study; Convergent Evolution; Dementia; Dementia Quality Of Life Instrument; Exercise; Feasibility Study; Female; Fidelity; Gardening; Gardening Bed; Health Care Cost; Health Care Planning; Human; Intervention Study; Interview; Male; Middle Aged; Patient Attendance; Perception; Person Living With Dementia; Planting Time; Program Acceptability; Psychology; Qualitative Analysis; Reliability; Repeatable Battery For The Assessment Of Neuropsychological Status; Response Rate; Retention; Safety Screening; Social Psychology; Statistics; Template For Intervention Description And Replication; Thematic Analysis; Training; Very Elderly; World Health Organization; Caregiver; Colorado; Pilot Study; Caregivers; Dementia; Feasibility Studies; Humans; Pilot Projects"
