"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Ecosystem services and cost-effective benefits from the reclamation of saline sodic land under different paddy field systems","2024","Ecosystem Services","10.1016/j.ecoser.2024.101682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209127006&doi=10.1016%2Fj.ecoser.2024.101682&partnerID=40&md5=20ece75d2e97e99513d1952742dd726b","Reclamation of saline-sodic soils can unlock vast potential resources, relieve food shortages, and increase valuable ecosystem services. While previous investigations have focused on the current ecosystem service (ES) value of reclaimed paddy fields, the potential long-term costs and benefits of reclamation are still largely unknown. To fill this important research gap, we assessed ES values of reclaimed paddies at the field scale, using primary data collected from 15 different paddy management systems. We assessed the market and non-market benefits, costs, and benefit-cost ratios (BCR) of three different reclamation models and two coculture models across a chronosequence of paddy sites (cultivated for up to 50 years). Our results demonstrate that the addition of cellulose sulfonated modified composite (CSMC) and flue gas desulfurization gypsum (FGDG) substantially increased the net ecosystem service value (NESV) by 16.53 % and 52.21 %, respectively, compared to control paddy cultivation sites. Additionally, integrated rice-crab and rice-fish coculture systems presented great increases in market value (48.48 % and 51.39 %, respectively) compared with that of monoculture systems. Ecosystem provisioning and gas regulating services increased alongside market benefits over longer cultivation periods, indicating potential advantages of long-term paddy cultivation. After 50 years of operation, the cumulative benefit of the CSMC system was approximately 455058.88 ¥ ha−1, which was approximately 1.6 times greater than the control. These results indicate that additional investment in the CSMC system can produce a high margin benefit-cost ratio (MBCR). Given appropriate management models and policies, CSMC inputs and rice-fish co-culture represent the best-performing reclamation system in this study. Our study lays the foundation for associated studies on related government policy, corporate investments, and agricultural production. © 2024 Elsevier B.V., All rights reserved.","Benefit-cost Analysis; Ecosystem Services; Reclamation; Rice Paddy; Saline-sodic Soils"
"Disentangling cultural ecosystem services co-production in urban green spaces through social media reviews","2024","Ecosystem Services","10.1016/j.ecoser.2024.101675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209094896&doi=10.1016%2Fj.ecoser.2024.101675&partnerID=40&md5=6b0ac798a7e5dfc3419a25054d263fa1","Urban green spaces (UGS) are vital for providing cultural ecosystem services (CES) that enhance well-being in cities. CES are co-produced through human interactions with the environment and involve natural, built, human, and social capital. Assessing CES through textual social media reviews on platforms such as Google Maps, offers insights into the intricate relationships between UGS characteristics, human activities, and well-being. However, research gaps regarding the role of co-production factors in the final delivery of CES persist, necessitating an improved conceptualization of CES co-production. This study provides a comprehensive exploration of the co-production of CES in UGS by analyzing 15,450 Google Maps reviews in the German cities of Bochum and Gelsenkirchen. The research assesses both the “use clause” and “ecological clause” of CES, offering a nuanced understanding of user perceptions and the contributions of UGS characteristics. Key findings highlight the entangled significance of CES categories, such as “aesthetic experiences,” “active or immersive interactions,” and “passive or observational interactions,” revealing that aesthetic value acts as a catalyst for both active and passive interactions within UGS. The study also demonstrates the intricate relationship between CES and the (perceived) biophysical environment, suggesting tangible and material connections to the natural and built environment, contrary to existing intangibility claims. The analysis of low-intensity and experience-oriented recreational activities highlights the reliance on specific UGS characteristics. The study concludes by acknowledging the strengths of utilizing textual social media reviews for CES assessment, particularly in their ability to cover a broad range of UGS classes in urban contexts. Our research enhances understanding of CES co-production in UGS, emphasizing the interplay between UGS characteristics, user experiences, and CES co-production. This provides insights for UGS planning and guides research on material aspects of CES co-production and capital interactions. © 2024 Elsevier B.V., All rights reserved.","Co-production; Cultural Ecosystem Services; Google Maps Reviews; Green Space Characteristics; Urban Green Spaces; User Perceptions"
"Cultural ecosystem services and disservices in protected areas: Hotspots and influencing factors based on tourists’ digital footprints","2024","Ecosystem Services","10.1016/j.ecoser.2024.101680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208933467&doi=10.1016%2Fj.ecoser.2024.101680&partnerID=40&md5=531a32f0dad2849b7a61d197e3958b8e","Protected areas provide invaluable cultural ecosystem services, attracting increased attention. However, standardized evaluation criteria for cultural ecosystem services (CES) are still lacking, and the influencing factors remain largely unknown, making it difficult to fully understand the CES of protected areas. To address these limitations, we established a comprehensive framework for assessing the CES and selected Wuyishan National Park as a case study, a famous world heritage site attracting large numbers of visitors. A grounded approach was employed to analyze the composition of CES from visitors’ digital footprints data (N = 13,738), and kernel density estimation (KDE) and Geodetector were used to analyze spatial distribution and influencing factors. Results showed that recreation and leisure accounted for the highest proportion (47.63 %) of all the ten CES types derived from the coding of digital footprint data, while four categories of cultural ecosystem disservices (CEDS) constituted 13.15 % of the digital footprint coding count. Hot spots of CES were identified, which exhibited a pattern of higher values in the east and lower in the west. This pattern was primarily influenced by socio-economic factors such as GDP (q = 0.477), regional recreational popularity (q = 0.380), and population density (q = 0.363). The interaction between GDP and distance from the town center contributed significantly (q = 0.641). In the study, we expanded the methodology for quantitatively assessing CES in protected areas, revealing the spatial difference between CES and CEDS, offering scientific and well-founded references to achieve effective conservation and sustainable management for protected areas. © 2024 Elsevier B.V., All rights reserved.","Buffer Zones; Cultural Values; Geodetector; Grounded Approach; National Parks; Social Media Data"
"Valuation of ecosystem services in marine protected areas: A comprehensive review of methods and needed developments","2024","Ecosystem Services","10.1016/j.ecoser.2024.101678","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208563540&doi=10.1016%2Fj.ecoser.2024.101678&partnerID=40&md5=1e7bfc8d0aaeb222d4cec6fa315656b8","Effectively managing Marine Protected Areas (MPAs) requires recognising and understanding the fundamental services offered by marine ecosystems and the socio-economic consequences that their changes will have. A systematic literature review was performed to generate a first in-detail screening and assessment of monetary and non-monetary methods for the valuation of ecosystem services (ES) and their application in MPAs and MPA networks. A total of 100 peer-reviewed papers on ES valuation within MPAs and MPA networks were identified and analysed. Valuation methods can be classified into nine monetary and seven non-monetary methodologies. There is a predominant use of monetary valuation methodologies, especially stated preference methods. However, combining monetary with non-monetary valuation approaches can provide deeper insights into the underlying reasons for assigning values to ES and offer enhanced opportunities to capture the value of services that may be challenging to express solely in monetary terms. Besides, the review underscores the gaps in assessment methodologies, particularly in addressing supporting and regulating ES, as well as non-use and option values related to MPAs, underscoring the need for innovative approaches to overcome challenges in capturing these essential components of marine ecosystems. © 2024 Elsevier B.V., All rights reserved.","Ecosystem Services; Marine Protected Area; Monetary Valuation; Mpa; Non-monetary Valuation"
"Effects of ecological restoration projects on ecosystem services flows","2024","Ecosystem Services","10.1016/j.ecoser.2024.101681","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208502196&doi=10.1016%2Fj.ecoser.2024.101681&partnerID=40&md5=4627f2740f88b567d3b6f5b94bf6b667","Conserving and managing natural capital require an in-depth understanding of the complex flow dynamics of an ecosystem service (ES) under different policy contexts. However, little is known about how ecological restoration projects affect ES flows, impairing the identification of sustainable management and decision choices. Here, we addressed this knowledge gap and reported on the effects of Natural Forest Conservation Project (NFCP) and Grain to Green Project (GTGP), two of the largest restoration projects worldwide, by taking the Blank River Basin of Shaanxi province, China, as a case study. We found that the inter-regional ES flows under the joint implementation of these two projects increased by 10.1 % (water retention), 5.9 % (flood mitigation) and 7.7 % (soil retention), in relation to the sum of benefits produced by the two projects separately. Higher flow intensity was observed for the three services between June and September compared to those in other months. The effects of different projects showed a spatial heterogeneity across the basin, with major increases of intra-regional ES flows observed in the southern region. Quantitative analyses revealed higher intra-regional ES flows with more synergistic areas for all services when GTGP and NFCP were jointly implemented in relation to their separate enforcement. Our findings highlight the importance of considering the integrated effects of multiple projects in systematic conservation planning aiming to improve ecosystem benefits to people both locally and across distances. © 2024 Elsevier B.V., All rights reserved.","Ecological Restoration; Ecosystem Service Flow; Sustainability; Synergy"
"A multi-indicator distributive justice approach to assess school-related green infrastructure benefits in Brussels","2024","Ecosystem Services","10.1016/j.ecoser.2024.101677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208197582&doi=10.1016%2Fj.ecoser.2024.101677&partnerID=40&md5=f36995b6f337e3d11bc387fa6cd843ea","Environmental justice considerations in ecosystem service research have increased in recent years, especially in urban assessments. Many studies have focused on the unequal distribution of urban green infrastructure and related ecosystem services from a residential perspective. However, for certain population groups, such as children, considering other frequently visited urban settings (e.g. school environments) is also essential to assess distributive environmental justice. While there is an increasing number of studies measuring children's access and exposure to green infrastructure in school environments, most of these assessments rely on coarse metrics of greenness (e.g. NDVI). In this research, we propose a multi-indicator distributive justice approach to assess schools’ outdoor environmental quality. More specifically, our study examines the spatial distribution of nine school-related socio-environmental indicators, including green infrastructure elements (n = 3), regulating ecosystem services (n = 2), environmental hazards (n = 2), and socio-economic background (n = 2) for nearly all primary school settings (n = 408) located in the Brussels Capital Region, Belgium. Bivariate and spatial regression analyses show that schoolchildren from wealthier families usually attend schools with greener and better outdoor environmental quality, generally characterized by more vegetation in and around the school settings, higher levels of regulating ecosystem services provision, and lower exposure to environmental hazards. We argue that addressing these multi-faceted environmental disparities should be prioritized when planning new school greening initiatives. © 2024 Elsevier B.V., All rights reserved.","Children's Geographies; Climate Change Adaptation; Geospatial Analysis; Nature-based Solutions; Primary Schools; Urban Resilience"
"A global systematic review of the cultural ecosystem services provided by wetlands","2024","Ecosystem Services","10.1016/j.ecoser.2024.101673","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207713235&doi=10.1016%2Fj.ecoser.2024.101673&partnerID=40&md5=6e30c4571c8497243154cd0b5750f48d","Wetlands make a disproportionately large contribution to global biodiversity and provide critical ecosystem services for humanity. Yet, our understanding of the cultural ecosystem services (CES) provided by wetlands remains limited, with benefits often only recognised at local scales. To address this knowledge gap, we conducted a global systematic review of wetland CES. Our synthesis addressed key questions related to the provision of CES by different types of wetlands, their economic value, their co-occurrence and associations with other ecosystem services, threats to the provision of CES by wetlands, as well as the availability and use of CES information. Based on 861 published papers (1968–2022) in 17 languages, we found evidence of CES provided by wetlands in 175 countries and territories, highlighting that wetlands are globally important for the provision of CES. Recreation/tourism was the most frequently reported CES (40 %), with cultural identity/heritage (16 %) and education/learning/knowledge (13 %) also well-represented. In contrast, examples of sense of place (4 %) and bequest (4 %) were least frequent. Our synthesis of published estimates yielded a mean of £57262 ha−1 yr−1 for the cultural benefits of wetlands; however, this mean should be interpreted with caution given that we documented a very wide range of estimates for each CES type of <£1–£1065205 ha−1 yr−1. Threats to wetland CES were documented in 45 % of papers, and included wetland destruction, pollution, and climate change. The probability that a CES paper would be available open access, and the probability that a published paper featured at least one author affiliated with the country where the study was conducted, both varied significantly among continents and publication years. Conservation outcomes related to CES featured in 13 % of papers, whilst 10 % made policy/management recommendations. Our study highlights the links between wetlands and human culture, emphasising their importance in motivating future wetland creation and restoration. © 2024 Elsevier B.V., All rights reserved.","Aquatic Ecosystems; Cultural Benefits; Ecosystem Goods; Evidence Synthesis; Water; Wetland Threats"
"Ecosystem accounting applied to the restoration of a brackish coastal lagoon highlights the importance of individual ecosystem-level studies","2024","Ecosystem Services","10.1016/j.ecoser.2024.101676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207710353&doi=10.1016%2Fj.ecoser.2024.101676&partnerID=40&md5=4c049ddf76db1d607ca64f70830193ab","Ecosystem accounting is increasingly used at national and regional levels to guide environmental management. Nonetheless, there is a lack of accurate data on individual ecosystems, which hampers the reliability of upscaling analyses critical to understanding human impacts on ecosystems. Delta areas are particularly challenging due to the complex and unique ecological characteristics created by human activities interacting with aquatic and terrestrial domains. This study aims to address this gap by compiling a comprehensive set of ecosystem accounts that cover extent, condition and services at the individual ecosystem level. In particular, the applicability of the System of Environmental-Economic Accounting – Ecosystem Accounting (SEEA-EA) framework will be evaluated in the context of a restoration project at the Sacca di Goro lagoon, a coastal brackish lagoon located in the Po delta (Northern Italy). The analysis shows that the SEEA-EA can effectively capture the impact of various factors, including environmental measures, socio-economic trends, climate change, and biological invasions, on an individual ecosystem. The environmental interventions resulted in a significant restoration of reed habitats and an improvement in the abiotic characteristics. However, other drivers acting at different scales had negative impacts on biotic indicators. The decline of the fishery in the Adriatic region, along with climate change and the recent invasion of blue crabs, has significantly impacted the fish community and clam farming, resulting in the loss of valuable provisioning services such as fishery and aquaculture. The case of the Sacca di Goro lagoon demonstrates that local measures can enhance ecological conditions and some regulating services but other larger-scale factors may have relevant and unexpected impacts. To scale up the analysis at a national or regional level, further research on individual ecosystem types is necessary, especially in the case of deltas and estuaries. © 2024 Elsevier B.V., All rights reserved.","Aquaculture; Ecological Restoration; Fishery; Natural Capital Accounting; Po River Delta; Seea-ea"
"Corrigendum to “Perceived urban ecosystem services and disservices in gentrifying neighborhoods: Contrasting views between community members and state informants” [Ecosyst. Serv. 65 (2024) 101571] (Ecosystem Services (2024) 65, (S2212041623000645), (10.1016/j.ecoser.2023.101571))","2024","Ecosystem Services","10.1016/j.ecoser.2024.101674","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207335910&doi=10.1016%2Fj.ecoser.2024.101674&partnerID=40&md5=7afde91e1bdfbf321f58d26ab605bab9","The authors regret that there was error in author's affiliation. The missed affiliation for the last and co-corresponding author has been updated above. Content of correction: j Universitat Pompeu Fabra (UPF), Barcelona, Spain The authors would like to apologise for any inconvenience caused. © 2024 Elsevier B.V., All rights reserved.",""
"Integration of the system of environmental economic accounting-ecosystem accounting (SEEA-EA) framework with a semi-distributed hydrological and water quality simulation model","2024","Ecosystem Services","10.1016/j.ecoser.2024.101672","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207152448&doi=10.1016%2Fj.ecoser.2024.101672&partnerID=40&md5=ddb580a569127fbc467cd525aff913fb","This research is aimed to map the ecosystem accounting according to the System of Environmental-Economic Accounting-Ecosystem Accounting (SEEA-EA) framework in river-basin scale, while examining the potential of the Soil and Water Assessment Tool (SWAT) in drawing the ecosystem accounting. The focus of the accounting is on the physical ecosystem extent (EEA), condition (ECA), and services (ESA) in the Karaj River-basin, Iran. To analyze the EEA, we attributed the ecosystems based on the Global Ecosystem Typology developed by the International Union for Conservation of Nature (IUCN). Then, the attribute tables of each sub-basin were processed in ArcMap environment to quantify the changes between 2005 and 2010. SWAT model of the study area was calibrated and validated based on hydrological and water quality data to evaluate the ECA and ESA. Furthermore, we assessed the water supply for different purposes among the ecosystem services by employing the SWAT model. This research determined the contribution of water provision by the ecosystem to various uses and beneficiaries, and evaluated the trends and attribution of the changes. Concerning terrestrial accounts in EEA, the T6.4 (Grassland) ecosystem reduction was the most significant change observed. Also, unmanaged expansions emerged as the predominant factor contributing to changes across various ecosystems. Reviewing the ECA revealed that the T3.2 (Shrubland), T6.4, and T5.1 (Bareland) ecosystems have experienced area reductions of 19.2%, 18.2%, and 8%, respectively, while the T7.3 (Orchard) and F1.1 (Freshwater) ecosystems exhibited approximately 9% and 6% increases in condition. The analysis of the ECA indicated that the decrease in precipitation, particularly snowfall, is the main contributing factor to the deteriorating condition of the terrestrial ecosystems. The examination on the EEA demonstrated a decline in the water supplied by the ecosystems. The findings indicate that incorporating the SWAT model within an ecosystem accounting framework, offers valuable insights to facilitate informed decision-making. © 2024 Elsevier B.V., All rights reserved.","Ecosystem Accounting; Ecosystem Condition; Ecosystem Extent; Ecosystem Services; Swat; Water Provisioning Services"
